Telescope :,Gemini,,Instrument :,Flamingos II,Flamingos 2,,,,,,,,,,,,,,
Obj. Name,Date,FITS #,Program ID,Exposure (s),Filter,Local Time,Airmass,Seeing,Type,Flat #,Telluric # (Or BMAG;VMAG),Lamps #,Darks Program ID,Darks Date,Darks #,abba patterns,Reduce ? (0/1),Binary ?,Comments
FLAT,131002,137,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
HIP 13826,131002,167-170,GS-2013B-Q-79,,JH,,,,Telluric,157,A9,156,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
HIP 13826,131002,171-174,GS-2013B-Q-79,,HK,,,,Telluric,163,A9,162,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
J0259-4232,131002,152-155,GS-2013B-Q-79,,JH,,,,Science,157,167-170,156,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,0,
J0259-4232,131002,158-161,GS-2013B-Q-79,,HK,,,,Science,163,171-174,162,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,0,
Argon,131002,156,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131002,157,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
Argon,131002,162,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131002,163,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
HIP 7202,131002,195-198,GS-2013B-Q-79,,JH,,,,Telluric,183,A0,182,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
HIP 7202,131002,199-202,GS-2013B-Q-79,,HK,,,,Telluric,189,A0,188,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
J0129-0823,131002,178-181,GS-2013B-Q-79,,JH,,,,Science,183,195-198,182,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,0,
J0129-0823,131002,184-187,GS-2013B-Q-79,,HK,,,,Science,189,199-202,188,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,0,
Argon,131002,182,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131002,183,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
Argon,131002,188,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131002,189,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
##########################################################################################################################################################################################################################################################################################,,,,,,,,,,,,,,,,,,,
HIP 13917,131008,100-103,GS-2013B-Q-79,,JH,,,,Telluric,116,A0,115,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
HIP 13917,131008,104-107,GS-2013B-Q-79,,HK,,,,Telluric,122,A0,121,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
J0512-3041,131008,111-114,GS-2013B-Q-79,,JH,,,,Science,116,100-103,115,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,0,
J0512-3041,131008,117-120,GS-2013B-Q-79,,HK,,,,Science,122,104-107,121,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,0,
Argon,131008,115,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131008,116,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
Argon,131008,121,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131008,122,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
HIP 24362,131008,128-131,GS-2013B-Q-79,,JH,,,,Telluric,116,A4,115,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,0,x,No science associated. Will not be useful
